Address,Balance △1w/△1m,% of coins,First In,Last In,Ins,First Out,Last Out,Outs,
1,34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,248.597,"3,80%",18/10/2018 14:59,25/08/2023 18:48,805,18/10/2018 15:19,07/01/2023 7:15,451
2,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,178.010,"2,72%",16/08/2019 12:00,10/07/2023 0:20,133,02/02/2020 18:43,30/03/2023 18:46,111
3,bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2,118.300,"1,81%",08/05/2023 20:42,31/08/2023 8:49,163,10/05/2023 1:16,10/05/2023 1:16,1
4,39884E3j6KZj82FK4vcCrkUvWYL5MQaS3v,115.177,"1,76%",19/06/2023 11:54,27/07/2023 20:50,5,,,
5,bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt,94.643,"1,45%",01/02/2022 5:14,25/05/2023 20:29,68,,,
6,37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs,94.505,"1,45%",06/09/2019 5:30,22/06/2023 10:29,155,04/07/2021 5:56,04/07/2021 6:10,2
7,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,79.957,"1,22%",01/03/2011 11:26,30/08/2023 23:52,520,,,
8,bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6,69.370,"1,06%",03/11/2020 22:31,13/07/2023 13:36,69,,,
9,3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,68.200,"1,04%",17/06/2019 13:52,10/07/2023 0:20,69,18/11/2022 4:36,18/11/2022 4:36,54
10,bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,59.300,907.08%,11/10/2021 14:39,10/08/2023 8:44,59,15/07/2022 17:51,18/07/2023 17:42,55
11,bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc27a4,55.022,841.64%,30/09/2022 13:50,19/07/2023 15:47,30,30/09/2022 15:24,19/07/2023 15:47,28
12,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,53.880,824.17%,28/05/2014 0:49,12/08/2023 0:09,158,,,
13,1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,51.830,792.82%,07/01/2018 15:45,25/05/2023 10:58,120,,,
14,1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os,44.000,673.04%,24/11/2019 16:11,23/04/2023 13:14,49,,,
15,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,42.126,644.37%,08/10/2021 9:14,02/09/2023 20:17,1229437,12/10/2021 9:03,02/09/2023 20:17,1228371
16,3LCGsSmfr24demGvriN4e3ft8wEcDuHFqh 2-of-2,41.145,629.36%,01/10/2019 5:09,01/09/2023 13:17,7108,09/10/2019 6:48,01/09/2023 5:05,7081
17,38DN2uFMZPiHLHJigfv4kWC9JWJrNnhLcn,40.041,612.48%,07/05/2023 17:14,07/07/2023 5:55,2,,,
18,3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a,37.927,580.14%,24/10/2021 17:14,23/04/2023 13:14,11,,,
19,bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40,36.293,555.15%,11/03/2021 15:37,01/09/2023 16:18,21,01/04/2021 9:16,20/06/2023 9:28,3
20,bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkug,36.000,550.68%,27/07/2021 15:54,11/08/2023 15:03,29,,,
21,1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP,33.992,519.96%,02/11/2022 7:45,02/09/2023 18:29,509,02/11/2022 11:42,10/07/2023 9:05,134
22,bc1qs5vdqkusz4v7qac8ynx0vt9jrekwuupx2fl5udp9jql3sr03z3gsr2mf0f,32.601,498.67%,16/08/2023 2:56,30/08/2023 3:56,13,21/08/2023 16:59,23/08/2023 11:55,2
23,12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx,32.321,494.39%,13/12/2020 14:01,18/08/2023 8:29,33,12/04/2022 7:39,23/04/2022 14:41,10
24,bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4,31.643,484.03%,12/05/2020 2:57,05/08/2023 0:42,4730,20/07/2020 4:53,20/07/2020 4:53,1
25,3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B,31.275,478.40%,26/07/2021 16:25,12/01/2023 21:31,9,,,
26,3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgd,31.260,478.17%,16/12/2022 2:48,30/08/2023 7:24,91,21/12/2022 1:31,24/08/2023 0:21,46
27,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,31.000,474.19%,13/05/2010 10:22,05/08/2023 4:32,158,02/06/2010 12:57,25/07/2010 1:35,4
28,bc1qf2yvj48mzkj7uf8lc2a9sa7w983qe256l5c8fs,30.175,461.56%,07/03/2023 18:54,15/07/2023 14:10,5,,,
