Origin,OriginNetwork,Destination,DestinationNetwork
00.i2p,i2p,00.i2p,i2p
00.i2p,i2p,i2pforum.i2p,i2p
00.i2p,i2p,lpsg4x4gdrf7antxcdy47cl6abcqei5ommgzt55retq7go5ku3ba.b32.i2p,i2p
00.i2p,i2p,no.i2p,i2p
00.i2p,i2p,zmzpltxslembpaupg3srh4bbhv5txgh5jmms6sfj4hzsvlv3xugq.b32.i2p,i2p
0.0.jar.i2p,i2p,0.0.jar.i2p,i2p
0.0.jar.i2p,i2p,3.0.0.jar.i2p,i2p
02ch.i2p,i2p,02ch.i2p,i2p
02ch.i2p,i2p,inr.i2p,i2p
02ch.i2p,i2p,joajgazyztfssty4w2on5oaqksz6tqoxbduy553y34mf4byv6gpq.b32.i2p,i2p
0.2.i2p,i2p,0.2.i2p,i2p
0.2.i2p,i2p,echelon.i2p,i2p
0.5life.i2p,i2p,0.5life.i2p,i2p
0.5life.i2p,i2p,no.i2p,i2p
0815.i2p,i2p,0815.i2p,i2p
0815.i2p,i2p,no.i2p,i2p
086.i2p,i2p,086.i2p,i2p
086.i2p,i2p,i2pjump.i2p,i2p
086.i2p,i2p,i2pwiki.i2p,i2p
086.i2p,i2p,identiguy.i2p,i2p
086.i2p,i2p,inr.i2p,i2p
086.i2p,i2p,nrbnshsndzb6homcipymkkngngw4s6twediqottzqdfyvrvjw3pq.b32.i2p,i2p
0chan.i2p,i2p,0chan.i2p,i2p
0chan.i2p,i2p,inr.i2p,i2p
0chan.i2p,i2p,joajgazyztfssty4w2on5oaqksz6tqoxbduy553y34mf4byv6gpq.b32.i2p,i2p
0chanrunet.i2p,i2p,0chanrunet.i2p,i2p
0chanrunet.i2p,i2p,wiki.ilita.i2p,i2p
0.jar.i2p,i2p,0.0.jar.i2p,i2p
0.jar.i2p,i2p,0.jar.i2p,i2p
0xcc.i2p,i2p,0xcc.i2p,i2p
0xcc.i2p,i2p,lpsg4x4gdrf7antxcdy47cl6abcqei5ommgzt55retq7go5ku3ba.b32.i2p,i2p
0xcc.i2p,i2p,no.i2p,i2p
0xdeadbeef.i2p,i2p,0xdeadbeef.i2p,i2p
0xdeadbeef.i2p,i2p,no.i2p,i2p
102chan.i2p,i2p,102chan.i2p,i2p
102chan.i2p,i2p,6vxz4yp3vhjwbkmxajj7wiikxafwujig63gkhjknbq6xh4rqpm5a.b32.i2p,i2p
102chan.i2p,i2p,ahsplxkbhemefwvvml7qovzl5a2b5xo5i7lyai7ntdunvcyfdtna.b32.i2p,i2p
102chan.i2p,i2p,cepsrw27kdegwo7ihzouwvgcvw2obswwjs23ollgj7hk2yrce3da.b32.i2p,i2p
102chan.i2p,i2p,def2.i2p,i2p
102chan.i2p,i2p,def3.i2p,i2p
102chan.i2p,i2p,i2pd.i2p,i2p
